text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label,model_labels,predicted_merge
"*Corresponding author: Salah Mohamed El Sayed, Department of Medical","*Corresponding author: Salah Mohamed El Sayed, Department of Medical","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +2-",-0.28,-0.0,1,0,0,7.0,7.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,1,1
"Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +2-",drsalahpediatr@yahoo.com,drsalahpediatr@yahoo.com,1.62,0.0,1,0,0,7.0,7.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
drsalahpediatr@yahoo.com,drsalahpediatr@yahoo.com,"Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013",1.02,0.0,1,0,1,7.0,7.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,0,0
"Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping","Citation: El Sayed SM, Mahmoud HS, Nabo MMH  (2013) Methods of Wet Cupping",0.94,0.01,1,1,1,7.0,7.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,1,1
"Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping","Citation: El Sayed SM, Mahmoud HS, Nabo MMH  (2013) Methods of Wet Cupping",Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern,Therapy (Al-Hijamah): In Light of Modern Medicine and Prophetic Medicine. Altern,-0.28,0.0,1,1,0,7.0,7.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,1,1
Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern,Therapy (Al-Hijamah): In Light of Modern Medicine and Prophetic Medicine. Altern,Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111,Integ Med 2: 111. doi:10.4172/2327-5162.1000111,-0.2,0.0,1,0,1,7.0,7.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,1,1
Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111,Integ Med 2: 111. doi:10.4172/2327-5162.1000111,"Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed",1.02,0.0,1,1,1,7.0,7.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,,0,0
"Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","under the terms of the Creative Commons Attribution License, which permits","under the terms of the Creative Commons Attribution License, which permits",-0.28,0.0,1,1,0,7.0,7.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
"under the terms of the Creative Commons Attribution License, which permits","under the terms of the Creative Commons Attribution License, which permits","unrestricted use, distribution, and reproduction in any medium, provided the","unrestricted use, distribution, and reproduction in any medium, provided the",-0.2,0.0,1,0,0,7.0,7.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
"unrestricted use, distribution, and reproduction in any medium, provided the","unrestricted use, distribution, and reproduction in any medium, provided the",original author and source are credited.,original author and source are credited.,-0.2,0.0,1,0,0,7.0,7.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,,1,1
part of the traditional Chinese medicine TCM dating back to at least,part of the traditional Chinese medicine (TCM) dating back to at least,"2,000 years 2.","2,000 years [2].",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
"2,000 years 2.","2,000 years [2].","In the middle east, Arabic writers report that cupping therapy","In the middle east, Arabic writers report that cupping therapy",0.96,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
"In the middle east, Arabic writers report that cupping therapy","In the middle east, Arabic writers report that cupping therapy","dates back to 3500 B.C. 5500 years ago, where Assyrians were the first","dates back to 3500 B.C. (5500 years ago), where Assyrians were the first",-0.3,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"dates back to 3500 B.C. 5500 years ago, where Assyrians were the first","dates back to 3500 B.C. (5500 years ago), where Assyrians were the first",Arab population to use primitive tools as animal horns and bamboo,Arab population to use primitive tools as animal horns and bamboo,-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
Arab population to use primitive tools as animal horns and bamboo,Arab population to use primitive tools as animal horns and bamboo,"wood for cupping therapy then the Chinese physician, Jee Hong 381281 B.C. was among the leaders in that art. Arabic civilization termed",281 B.C.) was among the leaders in that art. Arabic civilization termed,2.1,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"wood for cupping therapy then the Chinese physician, Jee Hong 381281 B.C. was among the leaders in that art. Arabic civilization termed",281 B.C.) was among the leaders in that art. Arabic civilization termed,"cupping therapy, Al-hijamah therapy which means in Arabic: to","cupping therapy, Al-hijamah therapy (which means in Arabic: to",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"cupping therapy, Al-hijamah therapy which means in Arabic: to","cupping therapy, Al-hijamah therapy (which means in Arabic: to","restore to the original size, where it was used in treating hypertension,","restore to the original size), where it was used in treating hypertension,",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"restore to the original size, where it was used in treating hypertension,","restore to the original size), where it was used in treating hypertension,","polycythemia, headache, migraine and drug intoxication. They","polycythemia, headache, migraine and drug intoxication. They",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"polycythemia, headache, migraine and drug intoxication. They","polycythemia, headache, migraine and drug intoxication. They",diagnosed polycythemia whenever there was an exaggeration of the,diagnosed polycythemia whenever there was an exaggeration of the,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
diagnosed polycythemia whenever there was an exaggeration of the,diagnosed polycythemia whenever there was an exaggeration of the,"pink color of the skin 7. Interestingly, venesection phlebotomy is","pink color of the skin [7]. Interestingly, venesection (phlebotomy) is",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"pink color of the skin 7. Interestingly, venesection phlebotomy is","pink color of the skin [7]. Interestingly, venesection (phlebotomy) is","still being used currently in hospitals for treating polycythemia, where","still being used currently in hospitals for treating polycythemia, where",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"still being used currently in hospitals for treating polycythemia, where","still being used currently in hospitals for treating polycythemia, where",blood is drawn out and is replaced by saline infusion 8.,blood is drawn out and is replaced by saline infusion [8].,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
blood is drawn out and is replaced by saline infusion 8.,blood is drawn out and is replaced by saline infusion [8].,Ancient Egyptians were reported to practice cupping therapy,Ancient Egyptians were reported to practice cupping therapy,1.14,14.18,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
Ancient Egyptians were reported to practice cupping therapy,Ancient Egyptians were reported to practice cupping therapy,"earlier than many old civilizations, where cupping therapy was one of","earlier than many old civilizations, where cupping therapy was one of",-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"earlier than many old civilizations, where cupping therapy was one of","earlier than many old civilizations, where cupping therapy was one of",the oldest known medical therapies in ancient Egypt. The first report,the oldest known medical therapies in ancient Egypt. The first report,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
the oldest known medical therapies in ancient Egypt. The first report,the oldest known medical therapies in ancient Egypt. The first report,of using cupping therapy in ancient Egypt dates back to 1550 B.C.,of using cupping therapy in ancient Egypt dates back to 1550 B.C.,-0.12,-0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
of using cupping therapy in ancient Egypt dates back to 1550 B.C.,of using cupping therapy in ancient Egypt dates back to 1550 B.C.,more than 3500 years ago where drawings on the famous Egyptian,(more than 3500 years ago) where drawings on the famous Egyptian,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,,1,1
more than 3500 years ago where drawings on the famous Egyptian,(more than 3500 years ago) where drawings on the famous Egyptian,papyrus paper Ebers paper and ancient Egyptian temples showed that,papyrus paper (Ebers paper) and ancient Egyptian temples showed that,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
papyrus paper Ebers paper and ancient Egyptian temples showed that,papyrus paper (Ebers paper) and ancient Egyptian temples showed that,Egyptians were advanced in treatment using cupping therapy. Cupping,Egyptians were advanced in treatment using cupping therapy. Cupping,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
Egyptians were advanced in treatment using cupping therapy. Cupping,Egyptians were advanced in treatment using cupping therapy. Cupping,"therapy was also used in ancient Greek medicine 9,10.","therapy was also used in ancient Greek medicine [9,10].",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"therapy was also used in ancient Greek medicine 9,10.","therapy was also used in ancient Greek medicine [9,10].","In 400 B.C., Herodotus a Greek historian recorded that the ancient","In 400 B.C., Herodotus (a Greek historian) recorded that the ancient",1.14,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
"In 400 B.C., Herodotus a Greek historian recorded that the ancient","In 400 B.C., Herodotus (a Greek historian) recorded that the ancient",Egyptian physicians who recommended the application of sucking cups,Egyptian physicians who recommended the application of sucking cups,-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
Egyptian physicians who recommended the application of sucking cups,Egyptian physicians who recommended the application of sucking cups,to the body already used both wet cupping therapy and dry cupping,to the body already used both wet cupping therapy and dry cupping,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
to the body already used both wet cupping therapy and dry cupping,to the body already used both wet cupping therapy and dry cupping,"therapy. Diseases treated by cupping therapy included headache, lack","therapy. Diseases treated by cupping therapy included headache, lack",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"therapy. Diseases treated by cupping therapy included headache, lack","therapy. Diseases treated by cupping therapy included headache, lack","of appetite, maldigestion, fainting, abscess evacuation, narcolepsy","of appetite, maldigestion, fainting, abscess evacuation, narcolepsy",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"of appetite, maldigestion, fainting, abscess evacuation, narcolepsy","of appetite, maldigestion, fainting, abscess evacuation, narcolepsy",repeated sleepy desires and others 11.,(repeated sleepy desires) and others [11].,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
repeated sleepy desires and others 11.,(repeated sleepy desires) and others [11].,"In 3300 BC, in Ancient Macedonia, cupping therapy had been used","In 3300 BC, in Ancient Macedonia, cupping therapy had been used",1.14,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
"In 3300 BC, in Ancient Macedonia, cupping therapy had been used","In 3300 BC, in Ancient Macedonia, cupping therapy had been used","since prehistoric times to treat diseases and health disorders 12,13.","since prehistoric times to treat diseases and health disorders [12,13].",-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"since prehistoric times to treat diseases and health disorders 12,13.","since prehistoric times to treat diseases and health disorders [12,13].","In the United States, there is a progressive increase in the use of","In the United States, there is a progressive increase in the use of",1.14,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
"In the United States, there is a progressive increase in the use of","In the United States, there is a progressive increase in the use of",cupping therapy and other types of complementary medicine 14. In,cupping therapy and other types of complementary medicine [14]. In,-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
cupping therapy and other types of complementary medicine 14. In,cupping therapy and other types of complementary medicine [14]. In,a recent report from Harvard medical school about pediatric patients,a recent report from Harvard medical school about pediatric patients,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
a recent report from Harvard medical school about pediatric patients,a recent report from Harvard medical school about pediatric patients,"suffering from chronic severe pain, authors reported that cupping and","suffering from chronic severe pain, authors reported that cupping and",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"suffering from chronic severe pain, authors reported that cupping and","suffering from chronic severe pain, authors reported that cupping and",acupuncture treatment were pleasant and helpful for pain treatment,acupuncture treatment were pleasant and helpful for pain treatment,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
acupuncture treatment were pleasant and helpful for pain treatment,acupuncture treatment were pleasant and helpful for pain treatment,15.,[15].,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
15.,[15].,"Currently, most widely used practice for cupping therapy is in","Currently, most widely used practice for cupping therapy is in",1.14,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
"Currently, most widely used practice for cupping therapy is in","Currently, most widely used practice for cupping therapy is in",China. Cupping therapy is considered by Chinese to be part of the,China. Cupping therapy is considered by Chinese to be part of the,-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
China. Cupping therapy is considered by Chinese to be part of the,China. Cupping therapy is considered by Chinese to be part of the,traditional Chinese medicine TCM. Chinese hospitals recognized,traditional Chinese medicine (TCM). Chinese hospitals recognized,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
traditional Chinese medicine TCM. Chinese hospitals recognized,traditional Chinese medicine (TCM). Chinese hospitals recognized,cupping therapy as a formal modality of treatment since 1950 3.,cupping therapy as a formal modality of treatment since 1950 [3].,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
cupping therapy as a formal modality of treatment since 1950 3.,cupping therapy as a formal modality of treatment since 1950 [3].,"Currently, medical practitioners in China and Mongolia are practicing","Currently, medical practitioners in China and Mongolia are practicing",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,1,1
"Currently, medical practitioners in China and Mongolia are practicing","Currently, medical practitioners in China and Mongolia are practicing","cupping therapy for treating hypertension, neck pain, headache,","cupping therapy for treating hypertension, neck pain, headache,",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"cupping therapy for treating hypertension, neck pain, headache,","cupping therapy for treating hypertension, neck pain, headache,","chronic hepatitis, ophthalmic diseases, skin diseases and infectious","chronic hepatitis, ophthalmic diseases, skin diseases and infectious",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"chronic hepatitis, ophthalmic diseases, skin diseases and infectious","chronic hepatitis, ophthalmic diseases, skin diseases and infectious",diseases 16.,diseases [16].,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
diseases 16.,diseases [16].,Loukas et al. recently reported that knowledge gained from religious,Loukas et al. recently reported that knowledge gained from religious,1.14,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
Loukas et al. recently reported that knowledge gained from religious,Loukas et al. recently reported that knowledge gained from religious,texts Qur’an and Hadeeth may guide attention of researchers to start,texts (Qur’an and Hadeeth) may guide attention of researchers to start,-0.12,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
texts Qur’an and Hadeeth may guide attention of researchers to start,texts (Qur’an and Hadeeth) may guide attention of researchers to start,research and get some benefits when comparing such knowledge,research and get some benefits when comparing such knowledge,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
research and get some benefits when comparing such knowledge,research and get some benefits when comparing such knowledge,with modern medical knowledge. Prophetic medicine is the medical,with modern medical knowledge. Prophetic medicine is the medical,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
with modern medical knowledge. Prophetic medicine is the medical,with modern medical knowledge. Prophetic medicine is the medical,"knowledge gained from sayings, advices and teachings of Prophet","knowledge gained from sayings, advices and teachings of Prophet",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"knowledge gained from sayings, advices and teachings of Prophet","knowledge gained from sayings, advices and teachings of Prophet","Mohammad peace be upon him, 17,18 which recommended many","Mohammad peace be upon him, [17,18] which recommended many",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
"Mohammad peace be upon him, 17,18 which recommended many","Mohammad peace be upon him, [17,18] which recommended many",lines of treatment as cupping therapy: If there is a benefit in any of your,lines of treatment as cupping therapy: (If there is a benefit in any of your,-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
lines of treatment as cupping therapy: If there is a benefit in any of your,lines of treatment as cupping therapy: (If there is a benefit in any of your,"treatment modalities, benefit will be in the blade puncture in cupping","treatment modalities, benefit will be in the blade puncture in cupping",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"treatment modalities, benefit will be in the blade puncture in cupping","treatment modalities, benefit will be in the blade puncture in cupping","therapy, a gulp of honey and cauterizing, but I do not like cauterization","therapy, a gulp of honey and cauterizing, but I do not like cauterization)",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"therapy, a gulp of honey and cauterizing, but I do not like cauterization","therapy, a gulp of honey and cauterizing, but I do not like cauterization)","17,18.","[17,18].",-0.12,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
"17,18.","[17,18].",Cupping therapy is effective in treatment of incurable medical,Cupping therapy is effective in treatment of incurable medical,-147.4,270.71,0,0,0,9.0,10.0,1.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
Cupping therapy is effective in treatment of incurable medical,Cupping therapy is effective in treatment of incurable medical,conditions,conditions,-0.41,0.0,1,0,1,10.0,10.0,0.0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
conditions,conditions,Cupping therapy was reported to treat medical conditions as herpes,Cupping therapy was reported to treat medical conditions as herpes,0.88,14.17,0,1,0,10.0,9.0,-1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,0,0
Cupping therapy was reported to treat medical conditions as herpes,Cupping therapy was reported to treat medical conditions as herpes,"zoster 19, vitiligo 20, hypertension 1,21,22, rheumatoid arthritis","zoster [19], vitiligo [20], hypertension [1,21,22], rheumatoid arthritis",-0.3,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"zoster 19, vitiligo 20, hypertension 1,21,22, rheumatoid arthritis","zoster [19], vitiligo [20], hypertension [1,21,22], rheumatoid arthritis","23,24, headache and migraine 13,25. Cupping therapy was reported","[23,24], headache and migraine [13,25]. Cupping therapy was reported",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
"23,24, headache and migraine 13,25. Cupping therapy was reported","[23,24], headache and migraine [13,25]. Cupping therapy was reported","to relieve pain of dysmenorrhoea 26, acute trigeminal neuralgia 27,","to relieve pain of dysmenorrhoea [26], acute trigeminal neuralgia [27],",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"to relieve pain of dysmenorrhoea 26, acute trigeminal neuralgia 27,","to relieve pain of dysmenorrhoea [26], acute trigeminal neuralgia [27],","chronic osteoarthritis 10, carpal tunnel syndrome 4, fibrositis 28,","chronic osteoarthritis [10], carpal tunnel syndrome [4], fibrositis [28],",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"chronic osteoarthritis 10, carpal tunnel syndrome 4, fibrositis 28,","chronic osteoarthritis [10], carpal tunnel syndrome [4], fibrositis [28],","firomyalgia 6,29-31, cervical spondylosis, lumbar disc herniation 3,","firomyalgia [6,29-31], cervical spondylosis, lumbar disc herniation [3],",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"firomyalgia 6,29-31, cervical spondylosis, lumbar disc herniation 3,","firomyalgia [6,29-31], cervical spondylosis, lumbar disc herniation [3],","brachialgia paraesthetica nocturna 32, chronic non-specific neck pain","brachialgia paraesthetica nocturna [32], chronic non-specific neck pain",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"brachialgia paraesthetica nocturna 32, chronic non-specific neck pain","brachialgia paraesthetica nocturna [32], chronic non-specific neck pain","33-35, persistent non-specific low back pain 36 and pain of acute","[33-35], persistent non-specific low back pain [36] and pain of acute",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,,1,1
"33-35, persistent non-specific low back pain 36 and pain of acute","[33-35], persistent non-specific low back pain [36] and pain of acute",gouty arthritis 37.,gouty arthritis [37].,-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
gouty arthritis 37.,gouty arthritis [37].,Wet cupping therapy Al-hijamah has solid scientific and medical,Wet cupping therapy (Al-hijamah) has solid scientific and medical,0.96,14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,,0,0
Wet cupping therapy Al-hijamah has solid scientific and medical,Wet cupping therapy (Al-hijamah) has solid scientific and medical,bases according to Taibah theory suggested by Salah M. El Sayed. Wet,bases according to Taibah theory suggested by Salah M. El Sayed. Wet,-0.3,-14.17,0,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
bases according to Taibah theory suggested by Salah M. El Sayed. Wet,bases according to Taibah theory suggested by Salah M. El Sayed. Wet,cupping therapy is as an artificial surgical excretory procedure that,cupping therapy is as an artificial surgical excretory procedure that,-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
cupping therapy is as an artificial surgical excretory procedure that,cupping therapy is as an artificial surgical excretory procedure that,"clears blood and interstitial fluids from CPS. It opens skin barrier,","clears blood and interstitial fluids from CPS. It opens skin barrier,",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
"clears blood and interstitial fluids from CPS. It opens skin barrier,","clears blood and interstitial fluids from CPS. It opens skin barrier,","enhances natural excretory functions of the skin, enhances immunity","enhances natural excretory functions of the skin, enhances immunity",-0.3,0.0,1,0,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,,1,1
